Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
1014	0,0043	2,60392197462964E+017
1015	0,0037	2,60394086857301E+017
1016	0,0032	2,60395722538001E+017
1017	0,0027	2,60397104001964E+017
1018	0,0023	2,6039828196173E+017
1019	0,002	2,60399307280771E+017
1020	0,0017	2,60400179657227E+017
1021	0,0015	2,6040095015581E+017
1022	0,0012	2,60401567158397E+017
1023	0,0011	2,60402133297512E+017
1024	0,0009	2,60402596955033E+017
1025	0,0008	2,60403009497533E+017
1026	0,0007	2,6040337082439E+017
1027	0,0006	2,60403680834986E+017
1028	0,0005	2,60403939428699E+017
1029	0,0004	2,60404146504909E+017
1030	0,0003	2,60404301962998E+017
1031	0,0003	2,60404457572016E+017
1032	0,0002	2,60404561411982E+017
1033	0,0002	2,60404665352567E+017
1034	0,0002	2,60404769393773E+017
1035	0,0001	2,60404821464686E+017
1036	0,0001	2,60404873585909E+017
1037	0,0001	2,60404925757443E+017
1038	0,0001	2,60404977979286E+017
1039	0,0001	2,60405030251439E+017
1040	0,0001	2,60405082573902E+017
1041	0	2,60405082573902E+017
1042	0	2,60405082573902E+017
1043	0	2,60405082573902E+017
1044	0	2,60405082573902E+017
1045	0	2,60405082573902E+017
1046	0	2,60405082573902E+017
1047	0	2,60405082573902E+017
1048	0	2,60405082573902E+017
1049	0	2,60405082573902E+017
1050	0	2,60405082573902E+017
1051	0	2,60405082573902E+017
1052	0	2,60405082573902E+017
1053	0	2,60405082573902E+017
1054	0	2,60405082573902E+017
1055	0	2,60405082573902E+017
1056	0	2,60405082573902E+017
1057	0	2,60405082573902E+017
1058	0	2,60405082573902E+017
1059	0	2,60405082573902E+017
1060	0	2,60405082573902E+017
1061	0	2,60405082573902E+017
1062	0	2,60405082573902E+017
1063	0	2,60405082573902E+017
1064	0	2,60405082573902E+017
1065	0	2,60405082573902E+017
1066	0	2,60405082573902E+017
1067	0	2,60405082573902E+017
1068	0	2,60405082573902E+017
1069	0	2,60405082573902E+017
1070	0	2,60405082573902E+017
1071	0	2,60405082573902E+017
1072	0	2,60405082573902E+017
1073	0	2,60405082573902E+017
1074	0	2,60405082573902E+017
1075	0	2,60405082573902E+017
1076	0	2,60405082573902E+017
1077	0	2,60405082573902E+017
1078	0	2,60405082573902E+017
1079	0	2,60405082573902E+017
1080	0	2,60405082573902E+017
1081	0	2,60405082573902E+017
1082	0	2,60405082573902E+017
1083	0	2,60405082573902E+017
1084	0	2,60405082573902E+017
1085	0	2,60405082573902E+017
1086	0	2,60405082573902E+017
1087	0	2,60405082573902E+017
1088	0	2,60405082573902E+017
1089	0	2,60405082573902E+017
1090	0	2,60405082573902E+017
1091	0	2,60405082573902E+017
1092	0	2,60405082573902E+017
1093	0	2,60405082573902E+017
1094	0	2,60405082573902E+017
1095	0	2,60405082573902E+017
1096	0	2,60405082573902E+017
1097	0	2,60405082573902E+017
1098	0	2,60405082573902E+017
1099	0	2,60405082573902E+017
1100	0	2,60405082573902E+017
