Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
932	0,3	2,19737655478452E+017
933	0,248	2,19854064909777E+017
934	0,143	2,19921260033324E+017
935	0,25	2,2003885980069E+017
936	0,161	2,20114675050072E+017
937	0,163	2,20191514109193E+017
938	0,2	2,20285895783452E+017
939	0,398	2,20473915549269E+017
940	0,47	2,20696185398348E+017
941	0,371	2,20871823355076E+017
942	0,404	2,21063287347662E+017
943	0,278	2,21195177184728E+017
944	0,285	2,21330531372588E+017
945	0,367	2,21505014210317E+017
946	0,194	2,21597345246493E+017
947	0,37	2,21773626668899E+017
948	0,273	2,21903831118924E+017
949	0,493	2,22139210260574E+017
950	0,147	2,22209468260629E+017
951	0,482	2,22440080524008E+017
952	0,268	2,22568439600999E+017
953	0,343	2,22732892624986E+017
954	0,423	2,22935914850965E+017
955	0,34	2,23099271618725E+017
956	0,327	2,23256546906322E+017
957	0,27	2,23386543072695E+017
958	0,46	2,23608249449093E+017
959	0,373	2,23788212058656E+017
960	0,419	2,23990579247642E+017
961	0,46	2,2421297990288E+017
962	0,441	2,24426416311466E+017
963	0,504	2,24670597198271E+017
964	0,457	2,24892237165389E+017
965	0,502	2,25135954193433E+017
966	0,501	2,25379437782794E+017
967	0,501	2,2562317342556E+017
968	0,65	2,25939724328777E+017
969	0,684	2,26273177400055E+017
970	0,633	2,2658208620502E+017
971	0,712	2,2692990581729E+017
972	0,686	2,27265369278602E+017
973	0,605	2,27561526998631E+017
974	0,574	2,27842798474738E+017
975	0,588	2,28131226053909E+017
976	0,57	2,28411110984737E+017
977	0,637	2,28724215145681E+017
978	0,613	2,29025831004217E+017
979	0,636	2,29339083579841E+017
980	0,603	2,29636385853755E+017
981	0,711	2,29987294000665E+017
982	0,69	2,30328184911347E+017
983	0,667	2,3065804835978E+017
984	0,735	2,31021910844272E+017
985	0,686	2,31361860956815E+017
986	0,749	2,3173340780001E+017
987	0,737	2,32099372741947E+017
988	0,733	2,32463720215426E+017
989	0,747	2,32835402392685E+017
990	0,73	2,33198993202848E+017
991	0,751	2,3357342130323E+017
992	0,749	2,33947229080562E+017
993	0,735	2,34314419575583E+017
994	0,752	2,34690481243643E+017
995	0,75	2,35065920073149E+017
996	0,747	2,35440232963492E+017
997	0,738	2,35810407348226E+017
998	0,737	2,361804509268E+017
999	0,736	2,36550362693016E+017
1000	0,733	2,36919135439452E+017
1001	0,742	2,37292809392022E+017
1002	0,726	2,37658790936279E+017
